name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J0952,,57922.76108,mjd,,L1,1.255,GHz,99.7,43.6,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0952,,57922.76108,mjd,,L2,1.644,GHz,101.2,33.5,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0952,,57922.76108,mjd,,L (all),1.45,GHz,110,27.3,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0952,,57922.76108,mjd,,C (IF 1-8),4.999,GHz,192.048,0,uJy,TRUE,Noah Franz,17A-368,FALSE,
SDSS_J0952,,57922.76108,mjd,,C (IF 9-16),7.099,GHz,43.665,0,uJy,TRUE,Noah Franz,17A-368,FALSE,
SDSS_J0952,,57922.76108,mjd,,C (all_3bit),5.957,GHz,105.087,0,uJy,TRUE,Noah Franz,17A-368,TRUE,
SDSS_J1055,,57459.00021,mjd,,C (IF 1-8),4.999,GHz,38.2,13.9,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1055,,57459.00021,mjd,,C (IF 9-16),7.099,GHz,30.5,12.2,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1055,,57459.00021,mjd,,C (all_8bit),5.957,GHz,34,10,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1241,,57459.16642,mjd,,C (IF 1-8),4.999,GHz,1502,20.1,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1241,,57459.16642,mjd,,C (IF 9-16),7.099,GHz,960,16.3,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1241,,57459.16642,mjd,,C (all_8bit),5.957,GHz,1259.2,38.4,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1241,,57918.05305,mjd,,X (all),9.774,GHz,526.5,24.7,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1241,,57918.05305,mjd,,L1,1.3,GHz,4320.3,162.4,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J1241,,57918.05305,mjd,,L2,1.775,GHz,4125.9,131.7,uJy,FALSE,Kate with pwkit,17A-369,TRUE,
SDSS_J1241,,57918.05305,mjd,,L (all),1.45,GHz,4281.6,125.7,uJy,FALSE,Kate with pwkit,17A-370,FALSE,
SDSS_J1241,,57918.05305,mjd,,S (IF 1-8),2.627,GHz,2914.1,81.7,uJy,FALSE,Kate with pwkit,17A-371,TRUE,
SDSS_J1241,,57918.05305,mjd,,S (IF 9-16),3.523,GHz,2079.7,60.2,uJy,FALSE,Kate with pwkit,17A-372,TRUE,
SDSS_J1241,,57918.05305,mjd,,S (all),2.999,GHz,2492.6,69.9,uJy,FALSE,Kate with pwkit,17A-373,FALSE,
SDSS_J1241,,57918.05305,mjd,,C (IF 1-8),4.999,GHz,1217.6,40.4,uJy,FALSE,Kate with pwkit,17A-374,TRUE,
SDSS_J1241,,57918.05305,mjd,,C (IF 9-16),7.099,GHz,837.5,31.1,uJy,FALSE,Kate with pwkit,17A-375,TRUE,
SDSS_J1241,,57918.05305,mjd,,C (all_3bit),6.199,GHz,1052.8,31,uJy,FALSE,Kate with pwkit,17A-376,FALSE,
SDSS_J1241,,57918.05305,mjd,,X (IF 1-8),8.549,GHz,591.6,29.1,uJy,FALSE,Kate with pwkit,17A-377,TRUE,
SDSS_J1241,,57918.05305,mjd,,X (IF 9-16),10.999,GHz,443.3,37.2,uJy,FALSE,Kate with pwkit,17A-378,TRUE,
SDSS_J1342,,57459.39493,mjd,,C (IF 1-8),4.999,GHz,61.4,12.5,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1342,,57459.39493,mjd,,C (IF 9-16),7.099,GHz,45.2,12,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1342,,57459.39493,mjd,,C (all_8bit),5.957,GHz,53.8,7.7,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1350,,57459.24956,mjd,,C (IF 1-8),4.999,GHz,40.7,15.8,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1350,,57459.24956,mjd,,C (IF 9-16),7.099,GHz,23.4,9.2,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1350,,57459.24956,mjd,,C (all_8bit),5.957,GHz,31.1,9.2,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1241,,60944.95283,mjd,,S2,3.498821867,GHz,0.5536400832,0.02948279607,mJy,FALSE,noah Franz,25B-242,TRUE,
SDSS_J1241,,60944.95283,mjd,,S1,2.49887278,GHz,0.8163674707,0.04387418326,mJy,FALSE,noah Franz,25B-242,TRUE,
SDSS_J1241,,60944.95214,mjd,,L,1.519422663,GHz,1.451771317,0.1341574174,mJy,FALSE,noah Franz,25B-242,FALSE,
SDSS_J1241,,60944.95144,mjd,,C1,4.998745458,GHz,0.3744694247,0.02009676191,mJy,FALSE,noah Franz,25B-242,TRUE,
SDSS_J1241,,60944.95075,mjd,,X1,8.998541701,GHz,0.1935421394,0.02298611031,mJy,FALSE,noah Franz,25B-242,TRUE,
